,indeed,monster,simplyhired,avg
Kinesis,0.08383078120944719,0.05303030303030303,0.0866113316492241,0.07449080529632478
Kubernetes,0.08227355307552557,0.0588023088023088,0.07831107903284013,0.07312898030355817
C#,0.07734233065144043,0.048701298701298704,0.07325875135330205,0.06643412690201372
C,0.058655593044381005,0.07539682539682539,0.06062793215445687,0.06489345019855443
Javascript,0.06099143524526343,0.05844155844155844,0.06928906531937928,0.06290735300206705
Excel,0.062029587334544514,0.046176046176046176,0.06784554312522555,0.05868372554527208
Teradata,0.06280820140150532,0.051587301587301584,0.06062793215445687,0.058341145047754596
Impala,0.05683882688813911,0.05808080808080808,0.04330566582461205,0.05274176693118641
Ruby,0.06358681546846613,0.02886002886002886,0.06531937928545652,0.052588741204650506
Databricks,0.062029587334544514,0.03535353535353535,0.058823529411764705,0.052068884033281526
Power BI,0.060731897222943164,0.04040404040404041,0.05304944063514976,0.05139512608737778
Perl,0.0638463534907864,0.03968253968253968,0.04547094911584266,0.04966661409638958
BigQuery,0.05683882688813911,0.03535353535353535,0.047997112955611695,0.046729825065762044
Presto,0.042564235660524266,0.04329004329004329,0.050162396246842295,0.045338891732469945
Oozie,0.05035037633013236,0.04112554112554113,0.041501263081919884,0.044325726845864465
SAS,0.042304697638204,0.04148629148629149,0.04691447130999639,0.043568486811497296
Terraform,0.04022839345964184,0.04040404040404041,0.03392277156261277,0.038185068475431676
Pandas,0.03010641058915131,0.024531024531024532,0.03356189101407434,0.029399775378083397
TensorFlow,0.03503763301323644,0.016233766233766232,0.0277878022374594,0.02635306716148736
Node,0.0345185569685959,0.010822510822510822,0.02959220498015157,0.02497775759041943
Redis,0.02647287827666753,0.013347763347763348,0.03356189101407434,0.024460844212835075
node.js,0.02517518816506618,0.023448773448773448,0.019848430169613858,0.022824130594484498
PHP,0.020763041785621595,0.022005772005772004,0.02309635510645976,0.021955056299284455
Alteryx,0.023877498053464834,0.016955266955266956,0.018765788523998555,0.019866184510910115
Jupyter,0.019984427718660783,0.01406926406926407,0.019487549621075424,0.01784708046966676
NumPy,0.016091357383856735,0.016594516594516596,0.018765788523998555,0.017150554167457296
Matlab,0.016091357383856735,0.012265512265512266,0.018765788523998555,0.015707552724455853
Scikit-learn,0.015831819361536464,0.012265512265512266,0.018765788523998555,0.015621040050349094
Neo4j,0.016350895406177006,0.011183261183261184,0.01732226632984482,0.014952140973094337
PowerPoint,0.014274591227614845,0.007575757575757576,0.01335258029592205,0.011734309699764823
PyTorch,0.010121982870490527,0.006132756132756133,0.012630819198845183,0.009628519400697281
Golang,0.008045678691928368,0.009018759018759018,0.009382894261999277,0.008815777324228889
Flask,0.009343368803529718,0.005050505050505051,0.011909058101768314,0.008767643985267694
D3,0.006747988580327018,0.007575757575757576,0.007217610970768676,0.007180452375617757
Keras,0.007526602647287828,0.004329004329004329,0.007939372067845544,0.006598326348045899
SPSS,0.005969374513366208,0.005411255411255411,0.007578491519307109,0.006319707147976243
Julia,0.004931222424085129,0.0025252525252525255,0.006134969325153374,0.004530481424830343
Matplotlib,0.004152608357124318,0.004329004329004329,0.005052327679538073,0.00451131345522224
Shiny,0.004152608357124318,0.0018037518037518038,0.0054132082280765065,0.0037898561296508763
Stata,0.002076304178562159,0.0018037518037518038,0.0025261638397690365,0.002135406607361
